GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
class-service,cl.duocuc.crmenesesn.classservice.controller,HorarioController,0,57,0,0,0,10,0,9,0,9
class-service,cl.duocuc.crmenesesn.classservice.controller,TipoClaseController,0,33,0,0,0,6,0,5,0,5
class-service,cl.duocuc.crmenesesn.classservice.exception,ErrorApi,0,21,0,0,0,1,0,1,0,1
class-service,cl.duocuc.crmenesesn.classservice.exception,GlobalExceptionHandler,36,66,2,0,6,11,2,6,1,6
class-service,cl.duocuc.crmenesesn.classservice.client,TrainerClient,49,9,2,0,9,3,6,1,5,1
class-service,cl.duocuc.crmenesesn.classservice,ClassServiceApplication,5,3,0,0,2,1,1,1,1,1
class-service,cl.duocuc.crmenesesn.classservice.service,HorarioServiceImpl,38,482,1,19,5,114,5,24,4,15
class-service,cl.duocuc.crmenesesn.classservice.service,TipoClaseServiceImpl,20,207,0,8,4,51,2,12,2,8
class-service,cl.duocuc.crmenesesn.classservice.config,OpenApiConfig,0,17,0,0,0,3,0,2,0,2
class-service,cl.duocuc.crmenesesn.classservice.dto,TipoClaseRequest,0,9,0,0,0,1,0,1,0,1
class-service,cl.duocuc.crmenesesn.classservice.dto,TipoClaseResponse,0,15,0,0,0,1,0,1,0,1
class-service,cl.duocuc.crmenesesn.classservice.dto,HorarioRequest,0,15,0,0,0,1,0,1,0,1
class-service,cl.duocuc.crmenesesn.classservice.dto,HorarioResponse,0,24,0,0,0,1,0,1,0,1
