GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
membership-service,cl.duocuc.crmenesesn.membershipservice.dto,PlanResponse,0,18,0,0,0,1,0,1,0,1
membership-service,cl.duocuc.crmenesesn.membershipservice.dto,PlanRequest,0,12,0,0,0,1,0,1,0,1
membership-service,cl.duocuc.crmenesesn.membershipservice.dto,PlanMiembroResponse,0,24,0,0,0,1,0,1,0,1
membership-service,cl.duocuc.crmenesesn.membershipservice.dto,PlanMiembroRequest,0,12,0,0,0,1,0,1,0,1
membership-service,cl.duocuc.crmenesesn.membershipservice.client,MemberClient,13,8,0,0,2,3,1,1,1,1
membership-service,cl.duocuc.crmenesesn.membershipservice.service,PlanServiceImpl,27,180,1,3,6,47,1,11,0,10
membership-service,cl.duocuc.crmenesesn.membershipservice.service,PlanMiembroServiceImpl,0,206,0,4,0,56,0,10,0,8
membership-service,cl.duocuc.crmenesesn.membershipservice.controller,PlanController,0,33,0,0,0,6,0,5,0,5
membership-service,cl.duocuc.crmenesesn.membershipservice.controller,PlanMiembroController,0,25,0,0,0,4,0,4,0,4
membership-service,cl.duocuc.crmenesesn.membershipservice.model,PlanMiembro,4,0,0,0,2,0,1,0,1,0
membership-service,cl.duocuc.crmenesesn.membershipservice.config,SwaggerConfig,0,25,0,0,0,9,0,2,0,2
membership-service,cl.duocuc.crmenesesn.membershipservice.exception,ErrorApi,0,21,0,0,0,1,0,1,0,1
membership-service,cl.duocuc.crmenesesn.membershipservice.exception,GlobalExceptionHandler,36,66,2,0,6,11,2,6,1,6
membership-service,cl.duocuc.crmenesesn.membershipservice,MembershipServiceApplication,5,3,0,0,2,1,1,1,1,1
