GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-service,cl.duocuc.crmenesesn.paymentservice.config,FeignClientConfig,14,19,2,0,3,4,2,3,1,3
payment-service,cl.duocuc.crmenesesn.paymentservice.config,SwaggerConfig,0,25,0,0,0,9,0,2,0,2
payment-service,cl.duocuc.crmenesesn.paymentservice,PaymentServiceApplication,5,3,0,0,2,1,1,1,1,1
payment-service,cl.duocuc.crmenesesn.paymentservice.exception,GlobalExceptionHandler,36,66,2,0,6,11,2,6,1,6
payment-service,cl.duocuc.crmenesesn.paymentservice.exception,ErrorApi,0,21,0,0,0,1,0,1,0,1
payment-service,cl.duocuc.crmenesesn.paymentservice.dto,PagoRequest,0,12,0,0,0,1,0,1,0,1
payment-service,cl.duocuc.crmenesesn.paymentservice.dto,PagoResponse,0,21,0,0,0,1,0,1,0,1
payment-service,cl.duocuc.crmenesesn.paymentservice.service,PagoServiceImpl,0,204,2,6,0,55,2,11,0,9
payment-service,cl.duocuc.crmenesesn.paymentservice.model,Pago,4,0,0,0,2,0,1,0,1,0
payment-service,cl.duocuc.crmenesesn.paymentservice.controller,PagoController,0,31,0,0,0,5,0,5,0,5
